,Legal Proceedings & Law Violations,Biodiversity,Communities Health and Safety,Land Acquisition and Resettlement (S),Emergencies (Social),Corporate Governance,Responsible Investment & Greenwashing,Not Relevant to ESG,Economic Crime,Emergencies (Environmental),Hazardous Materials Management,Environmental Management,Landscape Transformation,Human Rights,Climate Risks,Labor Relations Management,Freedom of Association and Right to Organise,Employee Health and Safety,Surface Water Pollution,Animal Welfare,Water Consumption,Disclosure,Product Safety and Quality,Greenhouse Gas Emissions,Indigenous People,Cultural Heritage,Air Pollution,Waste Management,Soil and Groundwater Impact,Forced Labour,Wastewater Management,Natural Resources,Physical Impacts,Values and Ethics,Risk Management and Internal Control,Supply Chain (Environmental),Supply Chain (Social),Discrimination,Minimum Age and Child Labour,Planning Limitations,Data Safety,Strategy Implementation,Energy Efficiency and Renewables,Land Acquisition and Resettlement (E),Supply Chain (Economic / Governance),Land Rehabilitation,Retrenchment,Y,ESG-рейтинг,E Rank,E-рейтинг,S Rank,S-рейтинг,G Rank,G-рейтинг
мтс,0.0241771880537271,0.0719967782497406,0.0199395529925823,0.0422616675496101,0.0684700459241867,0.5731285214424133,0.4349217116832733,0.5393604040145874,0.1614001840353012,0.1568955928087234,0.0276905670762062,0.4749575853347778,0.0233512874692678,0.2721353769302368,0.012528539635241,0.0200683288276195,0.0838497132062912,0.3596711754798889,0.4119051098823547,0.0529979988932609,0.0112178511917591,0.030232785269618,0.1272171884775161,0.0926717221736908,0.3279168009757995,0.0096081187948584,0.1871576309204101,0.005132776685059,0.8573765158653259,0.0963698178529739,0.5195768475532532,0.5676807165145874,0.0484905019402504,0.3924712240695953,0.0097886128351092,0.1136822775006294,0.0790163874626159,0.4021351039409637,0.0638622343540191,0.0704200789332389,0.2251970916986465,0.0433607175946235,0.1333429962396621,0.1078823283314704,0.0743120685219764,0.0660130754113197,0.0744640529155731,24,0.6111111111111112,47,0.2777777777777778,26,0.7222222222222222,10,0.8333333333333334
positive technologies,0.0271410718560218,0.0448322109878063,0.0158020891249179,0.0227716788649559,0.0301299951970577,0.5817980170249939,0.4173735082149505,0.4687838852405548,0.2292277216911316,0.1104423627257347,0.0206510704010725,0.4152656197547912,0.009592730551958,0.2502269148826599,0.0037163374945521,0.0083599714562296,0.0400661528110504,0.316891998052597,0.3094882071018219,0.0384135209023952,0.0076589896343648,0.0217298455536365,0.0912429839372634,0.0637100338935852,0.265062540769577,0.0051337117329239,0.1659256517887115,0.0028812356758862,0.8255407810211182,0.072826474905014,0.5007879137992859,0.4722868502140045,0.0261560790240764,0.3685592710971832,0.0043600383214652,0.0524927116930484,0.0422729589045047,0.3496767580509186,0.0445719137787818,0.0708871632814407,0.0928403139114379,0.017230000346899,0.0674407482147216,0.0412878133356571,0.067464642226696,0.0390050671994686,0.0721020326018333,75,0.2777777777777778,148,0.05555555555555555,78,0.2777777777777778,61,0.5
газпром,0.0378767922520637,0.1123418807983398,0.0293167605996131,0.0403852611780166,0.088911697268486,0.6523367762565613,0.4675353467464447,0.6336179971694946,0.2357543408870697,0.320448487997055,0.0447567515075206,0.57419753074646,0.0492457598447799,0.3727909326553345,0.0175357367843389,0.0191139802336692,0.0617211908102035,0.5297430753707886,0.500234842300415,0.0699736252427101,0.0157755110412836,0.0670226439833641,0.0858169198036193,0.0876649692654609,0.3347976803779602,0.0196640249341726,0.3024684190750122,0.0076422500424087,0.8683434128761292,0.114579863846302,0.3770225346088409,0.4687431752681732,0.0510299727320671,0.5717034935951233,0.0096905725076794,0.0979073643684387,0.0552980974316597,0.4975574612617492,0.0757255405187606,0.0667318925261497,0.1934498995542526,0.0263703223317861,0.1223089620471,0.1134574487805366,0.1075383722782135,0.0868450254201889,0.1135998368263244,34,0.6111111111111112,25,0.5,36,0.6111111111111112,50,0.6111111111111112
сбербанк,0.0236137807369232,0.0721498653292656,0.0193458050489425,0.0357974134385585,0.0563475601375103,0.664662778377533,0.4843388199806213,0.5681193470954895,0.2026873230934143,0.1779140084981918,0.0273370314389467,0.5235157608985901,0.0204751752316951,0.2739226818084717,0.0084697837010025,0.0126598048955202,0.0719815343618393,0.4120882749557495,0.3736917972564697,0.0511330664157867,0.009567579254508,0.0251809358596801,0.0870783776044845,0.068758800625801,0.4525588750839233,0.0079988809302449,0.1940796077251434,0.003934655804187,0.8574845194816589,0.0733602792024612,0.4821357727050781,0.4749453961849212,0.0398508794605731,0.3933675587177276,0.0075240680016577,0.0895203799009323,0.0944784358143806,0.4025405347347259,0.112539030611515,0.0634819790720939,0.1794278621673584,0.0334441475570201,0.11216402053833,0.096352607011795,0.0682855322957038,0.0694748535752296,0.0991638004779815,1,0.8333333333333334,2,0.8333333333333334,1,0.9444444444444444,4,0.9444444444444444
россети,0.0283573530614376,0.1051430851221084,0.0209782365709543,0.0342282354831695,0.0668700113892555,0.558849573135376,0.4296538829803467,0.5328155755996704,0.1783971637487411,0.192947968840599,0.0443489849567413,0.522858202457428,0.0374784618616104,0.2538374066352844,0.0092841042205691,0.0191571153700351,0.0577772594988346,0.4022173583507538,0.3903070986270904,0.0488278865814209,0.0126350931823253,0.0327481180429458,0.1219097375869751,0.0833074748516082,0.2975624501705169,0.0117238415405154,0.1891859620809555,0.0043584322556853,0.8381699919700623,0.0915882885456085,0.3987476527690887,0.4610553681850433,0.0519112795591354,0.4633419215679168,0.0097091645002365,0.0871403962373733,0.0734235048294067,0.4456032514572143,0.0676319301128387,0.0796949416399002,0.2250257283449173,0.0331595316529274,0.112631544470787,0.0941458716988563,0.0894952192902565,0.0648173540830612,0.0857481881976127,48,0.5,44,0.3888888888888889,40,0.5,59,0.5
пик,0.0287187341600656,0.0936166495084762,0.0208869893103837,0.0379266627132892,0.063722550868988,0.5630133748054504,0.4558971524238586,0.5801817178726196,0.1585570126771927,0.188869446516037,0.0308458637446165,0.5504090189933777,0.0253088008612394,0.2346842885017395,0.0105592738837003,0.014194767922163,0.0788095965981483,0.3659380972385406,0.3774170875549316,0.0585588254034519,0.0126774357631802,0.0331690944731235,0.1320405602455139,0.0801551863551139,0.3448114693164825,0.0119561348110437,0.1929057985544204,0.005138726439327,0.8529819846153259,0.0963677614927291,0.49624764919281,0.4718128144741058,0.03961181640625,0.4104023575782776,0.0144167216494679,0.0899982526898384,0.0713359490036964,0.4155787229537964,0.0772038772702217,0.0882869660854339,0.1988678723573684,0.028311189264059,0.0993111357092857,0.0870272293686866,0.0940983667969703,0.0502511039376258,0.1035540476441383,134,0.16666666666666666,133-134,0.05555555555555555,149,0.05555555555555555,120,0.2777777777777778
втб,0.018684284761548,0.0651393085718154,0.014445137232542,0.0337077379226684,0.0664581805467605,0.6180710792541504,0.4776073694229126,0.3774683475494385,0.2055473923683166,0.1386353522539138,0.0297772400081157,0.4704221785068512,0.0236294902861118,0.3465685248374939,0.0119442604482173,0.0111701805144548,0.0596313215792179,0.39930260181427,0.3968856930732727,0.0389147140085697,0.0078568216413259,0.0249644014984369,0.0547401122748851,0.0737790912389755,0.3772920072078705,0.0094744879752397,0.1415556967258453,0.0030812027398496,0.7885782122612,0.0608175098896026,0.4287667870521545,0.3777087330818176,0.0328853279352188,0.4416970610618591,0.0048830858431756,0.072315365076065,0.0672449991106987,0.3594900071620941,0.0660411417484283,0.0384063608944416,0.1710348129272461,0.018465643748641,0.0906079113483429,0.0753082334995269,0.0537946559488773,0.0627039894461631,0.0857961997389793,82,0.2777777777777778,107,0.05555555555555555,85,0.2777777777777778,77,0.3888888888888889
совкомфлот,0.0242483783513307,0.0638449862599372,0.0167339667677879,0.0363871790468692,0.0492145791649818,0.5999870300292969,0.4544064700603485,0.4659618139266968,0.1743345260620117,0.1646541059017181,0.0225657261908054,0.5511636137962341,0.0179698448628187,0.2806195914745331,0.0084085715934634,0.0128488484770059,0.0425995476543903,0.3845723867416382,0.4557570219039917,0.0533116944134235,0.0095902848988771,0.0356013216078281,0.0828122273087501,0.1009927317500114,0.3473989069461822,0.0078921783715486,0.2042959183454513,0.0039849677123129,0.8401221036911011,0.0826562121510505,0.5060904026031494,0.5511718988418579,0.0297544710338115,0.4107458293437958,0.0076452917419373,0.1039387285709381,0.0667077526450157,0.3715235292911529,0.0672918111085891,0.0624466389417648,0.1173596903681755,0.0204799436032772,0.0969619303941726,0.0671993046998977,0.0721192732453346,0.0545967146754264,0.0816113129258155,78,0.2777777777777778,64,0.16666666666666666,88,0.2777777777777778,81,0.3888888888888889
магнит,0.0237679481506347,0.077219046652317,0.0206683501601219,0.0290925558656454,0.0710799843072891,0.5400703549385071,0.4398631751537323,0.5498374104499817,0.1558799594640731,0.1031906083226203,0.0275054853409528,0.4222829639911651,0.0338885486125946,0.239205315709114,0.0098047144711017,0.0149149233475327,0.0507097244262695,0.3475915193557739,0.4300143420696258,0.0312291011214256,0.0102568231523036,0.0286432690918445,0.0882459059357643,0.0923724696040153,0.2431393712759018,0.006482545286417,0.2151822745800018,0.0040946132503449,0.7579190731048584,0.0584285929799079,0.354282408952713,0.4071828424930572,0.0377878993749618,0.3977076709270477,0.0097262114286422,0.0985017046332359,0.0657465010881424,0.4167576432228088,0.0552410669624805,0.0663689374923706,0.1528817117214203,0.0189263746142387,0.0910787656903266,0.0895608514547348,0.059006992727518,0.0542528443038463,0.070077933371067,79,0.2777777777777778,55,0.2777777777777778,81,0.2777777777777778,105,0.2777777777777778
самолёт,0.02500856295228,0.0619027875363826,0.0204526484012603,0.0352597311139106,0.0438501946628093,0.6303092241287231,0.4408056735992431,0.4932312071323395,0.1494657546281814,0.1722149699926376,0.0259067080914974,0.4624872803688049,0.0238292813301086,0.3413589894771576,0.0076543050818145,0.0163931958377361,0.0434849224984645,0.3042075335979461,0.3529181182384491,0.0398580133914947,0.0117573756724596,0.0258903261274099,0.1010863482952117,0.0854127779603004,0.3410684168338775,0.0088585643097758,0.2113285213708877,0.0035358627792447,0.7924233675003052,0.0927872136235237,0.4270866215229034,0.4927583634853363,0.0350437425076961,0.4389285743236542,0.0089330310001969,0.0881242901086807,0.0491052344441413,0.4378500580787658,0.0559109039604663,0.0747514590620994,0.1719375103712082,0.0266113746911287,0.0932558923959732,0.0725811868906021,0.0810966938734054,0.064716637134552,0.08716382086277,52,0.5,60,0.2777777777777778,47,0.5,43,0.6111111111111112
русгидро,0.0192425679415464,0.0462330318987369,0.0196495745331048,0.0318295955657959,0.05796405300498,0.5833826065063477,0.3966730237007141,0.4002202153205871,0.2054403126239776,0.1548829972743988,0.0243982542306184,0.4288294315338135,0.026252131909132,0.2954808175563812,0.0073815169744193,0.0104702422395348,0.044413823634386,0.3709874451160431,0.4681102037429809,0.0348222702741622,0.0107264462858438,0.0283859632909297,0.0955208763480186,0.0882931500673294,0.3797056674957275,0.0086282193660736,0.1394124031066894,0.0030437358655035,0.7657666206359863,0.0676128268241882,0.3821578919887543,0.524086058139801,0.0274623464792966,0.4208968877792358,0.0055115628056228,0.0537799634039402,0.058716095983982,0.3494282066822052,0.0523903593420982,0.0423167049884796,0.1361889690160751,0.0136421080678701,0.0866865143179893,0.0921478793025016,0.0581860914826393,0.0773991122841835,0.0712115541100502,37,0.5,29,0.5,55,0.3888888888888889,24,0.7222222222222222
en+ group,0.022794222459197,0.0900752916932106,0.0156104797497391,0.0307132881134748,0.0561058893799781,0.6072972416877747,0.4007652401924133,0.5825792551040649,0.1727747619152069,0.1729924529790878,0.0196777936071157,0.4607578814029693,0.0243795346468687,0.217796579003334,0.0056288265623152,0.013470359146595,0.0564352385699749,0.3810460269451141,0.4337762594223022,0.0422031283378601,0.01212396658957,0.0277591794729232,0.0930906310677528,0.0767326354980468,0.3699908852577209,0.005728336982429,0.234107494354248,0.0031064942013472,0.8199567794799805,0.0766368359327316,0.3782862424850464,0.4434087872505188,0.0328019224107265,0.4010801017284393,0.009946740232408,0.0980376973748207,0.0505969077348709,0.4845745265483856,0.0746940970420837,0.0782451927661895,0.1990000605583191,0.0316344946622848,0.0942070335149765,0.0797948613762855,0.0627244040369987,0.05530596524477,0.0849470123648643,26,0.6111111111111112,26,0.5,35,0.6111111111111112,20,0.7222222222222222
московская биржа,0.0196816120296716,0.0779348462820053,0.0188051667064428,0.0386292710900306,0.0584392398595809,0.5703259110450745,0.4301609396934509,0.6032723188400269,0.1801766455173492,0.1828108429908752,0.0280928537249565,0.4586135149002075,0.0207321271300315,0.249484583735466,0.0148003213107585,0.0174670908600091,0.0706379041075706,0.3909239470958709,0.4463666677474975,0.0611969083547592,0.0126392701640725,0.0285511091351509,0.1524243950843811,0.0970523878931999,0.4290597140789032,0.0081391893327236,0.2122820317745208,0.0037455521523952,0.8490085005760193,0.0818736106157302,0.4908198416233063,0.5408849716186523,0.0569319166243076,0.3853344619274139,0.0125175947323441,0.1186311915516853,0.0788658857345581,0.4931403994560241,0.0788221806287765,0.0656973794102668,0.2928560972213745,0.0404580906033515,0.1320935934782028,0.1426403224468231,0.0821785852313041,0.0762600228190422,0.0677547752857208,16,0.7222222222222222,15,0.6111111111111112,37,0.6111111111111112,3,0.9444444444444444
нлмк,0.0176432225853204,0.0721293464303016,0.0231901016086339,0.0259223692119121,0.0648618936538696,0.5074042081832886,0.4207684397697449,0.4831267893314361,0.1739678531885147,0.1522754579782486,0.0286507979035377,0.4806428551673889,0.0417832136154174,0.2972391545772552,0.0120410658419132,0.0159163735806942,0.045569535344839,0.4473311603069305,0.4717468023300171,0.0431093946099281,0.0137255918234586,0.0341683886945247,0.0875913873314857,0.10679841786623,0.320345789194107,0.0107630249112844,0.1719434410333633,0.0042306734248995,0.7386080026626587,0.0721658766269683,0.3520726263523102,0.5426486730575562,0.0322521701455116,0.478232741355896,0.0066859279759228,0.0641618520021438,0.0514173135161399,0.3574723601341247,0.0692915394902229,0.0470754392445087,0.1282491236925125,0.0179720073938369,0.1140415966510772,0.1039282232522964,0.0673615783452987,0.0681688860058784,0.0750522091984748,21,0.6111111111111112,24,0.5,19,0.7222222222222222,26,0.7222222222222222
ммк,0.0240803938359022,0.0838208943605423,0.0249233692884445,0.0204670634120702,0.0240701753646135,0.6483389735221863,0.449537843465805,0.4725974202156067,0.0868545994162559,0.1943590492010116,0.0230655819177627,0.501015841960907,0.017580384388566,0.3859043419361114,0.0051339622586965,0.0107417171820998,0.0338119156658649,0.2859591841697693,0.3121777474880218,0.0485664196312427,0.0109080364927649,0.0450976938009262,0.10746631026268,0.0345920287072658,0.4050585329532623,0.0092647867277264,0.1190166026353836,0.0031098450999706,0.9001457691192627,0.0631536617875099,0.4420288503170013,0.2704922258853912,0.0179445333778858,0.3618169724941253,0.0044242236763238,0.0382193848490715,0.041990790516138,0.4181145131587982,0.0771761909127235,0.0481914542615413,0.1439893692731857,0.0173825696110725,0.0632171779870987,0.0401306636631488,0.0620806515216827,0.06187404692173,0.0710662677884101,15,0.7222222222222222,8,0.7222222222222222,9,0.8333333333333334,27,0.7222222222222222
селигдар,0.0348933711647987,0.0979623347520828,0.0225607771426439,0.0241941027343273,0.0549044869840145,0.5155389904975891,0.4343298375606537,0.5830127596855164,0.1572633385658264,0.1732940077781677,0.0333301350474357,0.4574379026889801,0.0405159294605255,0.2552584707736969,0.008524446748197,0.0189814548939466,0.0693833231925964,0.3680199980735779,0.3900838196277618,0.0519246496260166,0.0135816065594553,0.0359628610312938,0.1144307851791381,0.0726711973547935,0.2806155681610107,0.0080639598891139,0.2295641899108886,0.0055927643552422,0.799920916557312,0.0913869515061378,0.4155107736587524,0.3871307671070099,0.0353131219744682,0.4708128869533539,0.0074538066983222,0.1040655896067619,0.064191848039627,0.3739788830280304,0.0842123851180076,0.0840507969260215,0.1746608018875122,0.0317464768886566,0.1104981899261474,0.0797109231352806,0.0727496221661567,0.0467631630599498,0.1046386659145355,45,0.5,58,0.2777777777777778,45,0.5,16,0.8333333333333334
юнипро,0.0187327116727828,0.0454398430883884,0.0107452999800443,0.019131751731038,0.0369499288499355,0.6583781242370605,0.4263230264186859,0.398419439792633,0.1542512029409408,0.1726096421480178,0.0170993283390998,0.506942093372345,0.0125349480658769,0.2329311668872833,0.0059441337361931,0.0106923254206776,0.0585536509752273,0.2648297548294067,0.4105016589164734,0.0403461754322052,0.0083701172843575,0.0195769425481557,0.0891374200582504,0.0584942772984504,0.3337576687335968,0.0050384677015244,0.1211923956871032,0.0028525597881525,0.8477274179458618,0.0882292613387107,0.439013659954071,0.4061906039714813,0.0243915878236293,0.3057688474655151,0.0074164499528706,0.073568969964981,0.0439411997795105,0.3862517476081848,0.0507098510861396,0.0453920923173427,0.1219356805086135,0.0259156879037618,0.0770260170102119,0.0680723562836647,0.0517374873161315,0.0694086030125618,0.0904875919222831,56,0.3888888888888889,63,0.16666666666666666,54,0.3888888888888889,46,0.6111111111111112
