,Company_name,Legal Proceedings & Law Violations,Biodiversity,Communities Health and Safety,Land Acquisition and Resettlement (S),Emergencies (Social),Corporate Governance,Responsible Investment & Greenwashing,Not Relevant to ESG,Economic Crime,Emergencies (Environmental),Hazardous Materials Management,Environmental Management,Landscape Transformation,Human Rights,Climate Risks,Labor Relations Management,Freedom of Association and Right to Organise,Employee Health and Safety,Surface Water Pollution,Animal Welfare,Water Consumption,Disclosure,Product Safety and Quality,Greenhouse Gas Emissions,Indigenous People,Cultural Heritage,Air Pollution,Waste Management,Soil and Groundwater Impact,Forced Labour,Wastewater Management,Natural Resources,Physical Impacts,Values and Ethics,Risk Management and Internal Control,Supply Chain (Environmental),Supply Chain (Social),Discrimination,Minimum Age and Child Labour,Planning Limitations,Data Safety,Strategy Implementation,Energy Efficiency and Renewables,Land Acquisition and Resettlement (E),Supply Chain (Economic / Governance),Land Rehabilitation,Retrenchment,ESG rating,RAEX rank
10,ТКС-Холдинг инфа.docx,0.0201834142208099,0.0310661569237709,0.0137260956689715,0.0421116426587104,0.0094139641150832,0.7289207577705383,0.2443151026964187,0.4023941457271576,0.2606256902217865,0.0584361478686332,0.0243655871599912,0.5484341382980347,0.0025507230311632,0.4346296489238739,0.0022279750555753,0.006543206050992,0.0691879093647003,0.2017150968313217,0.1924092322587967,0.0728833898901939,0.0100605906918644,0.0211981236934661,0.1272934824228286,0.0544161088764667,0.4285642206668854,0.0019577108323574,0.1321283727884292,0.0051254574209451,0.8604317307472229,0.0466622151434421,0.7596046924591064,0.6447248458862305,0.0109392357990145,0.171353280544281,0.0045851040631532,0.0166042391210794,0.0594995357096195,0.535917341709137,0.0212736129760742,0.1072124987840652,0.2995671331882477,0.0236667860299348,0.0375135764479637,0.0317794941365718,0.1318563669919967,0.0349490121006965,0.0278043672442436,0.05555555555555555,156
11,СПАРК_Отчет_ПАО_ИНТЕР_РАО_2320109650_20240423_183438.docx,0.0201834142208099,0.0334788560867309,0.0189328715205192,0.0454270243644714,0.0148215210065245,0.7289207577705383,0.2824333608150482,0.4023941457271576,0.1627524644136428,0.0626174062490463,0.0209259297698736,0.5484341382980347,0.0021621079649776,0.4539528787136078,0.0017353575676679,0.0060968655161559,0.0359314680099487,0.2017150968313217,0.2779765725135803,0.0370753742754459,0.0100605906918644,0.0211981236934661,0.1272934824228286,0.0360342860221862,0.5108585953712463,0.0021519348956644,0.1270569264888763,0.0034801962319761,0.8604317307472229,0.0618911683559417,0.7596046924591064,0.6447248458862305,0.0088521605357527,0.1504447311162948,0.0045851040631532,0.0166042391210794,0.0388710498809814,0.535917341709137,0.0212737023830413,0.08496805280447,0.2181616574525833,0.0311439745128154,0.0192628987133502,0.0132688293233513,0.1090037077665329,0.0269546695053577,0.0248968340456485,0.6111111111111112,30
12,СПАРК_Отчет_ПАО_СЕВЕРСТАЛЬ_3528000597_20240423_182637.docx,0.0223662871867418,0.0610208176076412,0.0168205685913562,0.0504076443612575,0.0197419133037328,0.7289207577705383,0.31742063164711,0.4391710162162781,0.2248416990041732,0.0907430648803711,0.044741217046976,0.587767481803894,0.0025531286373734,0.4596814811229706,0.0022151658777147,0.0066810748539865,0.0557349659502506,0.2017150968313217,0.3221952319145202,0.0604976862668991,0.0100605906918644,0.0211981236934661,0.1272934824228286,0.0426756218075752,0.5561598539352417,0.0026584109291434,0.184990793466568,0.0035950590390712,0.8771678805351257,0.0730797424912452,0.7596046924591064,0.6447248458862305,0.0104395039379596,0.1828297823667526,0.0045851040631532,0.018779307603836,0.0470015257596969,0.535917341709137,0.0231369100511074,0.08496805280447,0.410146415233612,0.0300462450832128,0.0418028943240642,0.0255478117614984,0.1711508631706237,0.0478181764483451,0.0326575078070163,0.7222222222222222,7
13,Ростелеком инфа.docx,0.035729557275772,0.0336276814341545,0.0290221292525529,0.0500826239585876,0.0193681214004755,0.7084134221076965,0.3003838062286377,0.4286447167396545,0.2652296721935272,0.0635101050138473,0.0216992925852537,0.5243514180183411,0.004700647201389,0.4988652765750885,0.0036243260838091,0.0049139135517179,0.0684649273753166,0.1824288219213485,0.253216952085495,0.0346246398985385,0.0098097706213593,0.0181269906461238,0.0994701087474823,0.0775784254074096,0.3744132220745086,0.0020301600452512,0.1439587324857711,0.0040746303275227,0.8989003300666809,0.0567156597971916,0.6871201992034912,0.6960629820823669,0.0098492838442325,0.1014656573534011,0.0040837526321411,0.0204794947057962,0.0419662445783615,0.4555833041667938,0.0200803484767675,0.0824491456151008,0.2588137984275818,0.0225443840026855,0.026877811178565,0.0305233858525753,0.1203005313873291,0.0439229160547256,0.0431821607053279,0.5,39
14,РУСАГРО инфа.docx,0.0129158403724432,0.0177973862737417,0.0230501741170883,0.0168896205723285,0.0129377376288175,0.5823913812637329,0.2533013224601745,0.2932949960231781,0.0946381241083145,0.0717527940869331,0.0138950273394584,0.4733663201332092,0.0023515352513641,0.4184943437576294,0.0019707633182406,0.0032415543682873,0.0277907904237508,0.1750230640172958,0.2076726108789444,0.0197949595749378,0.0073730112053453,0.0088315876200795,0.0628416165709495,0.0347993820905685,0.3569360375404358,0.0008733081631362,0.0584431737661361,0.003052411135286,0.8451831936836243,0.0206280574202537,0.6260904669761658,0.5428826212882996,0.0071013788692653,0.0467576347291469,0.0040103406645357,0.0226585362106561,0.033790860325098,0.3175203204154968,0.0119269397109746,0.0471839345991611,0.1456588357686996,0.0145528707653284,0.0135198757052421,0.013497432693839,0.05579624325037,0.0256772805005311,0.0215090494602918,0.3888888888888889,60
15,ВТБ инфа.docx,0.0596153736114501,0.0599875301122665,0.0331466533243656,0.0571854375302791,0.0190134607255458,0.7240819931030273,0.3010715246200561,0.4529800117015838,0.3560912907123565,0.1072634980082511,0.0450577177107334,0.5164129137992859,0.0045969085767865,0.5525289177894592,0.0025054777506738,0.0054058129899203,0.0593013651669025,0.2348386645317077,0.2390671521425247,0.0733440443873405,0.0089072491973638,0.0189885962754488,0.1217516362667083,0.0563304498791694,0.4592796564102173,0.0023299660533666,0.1678728908300399,0.0059512979350984,0.8662892580032349,0.0790411531925201,0.7499069571495056,0.6607072353363037,0.0133495759218931,0.137650266289711,0.0062754871323704,0.0217196028679609,0.0594921149313449,0.4899950921535492,0.0287852063775062,0.0931474864482879,0.4928869605064392,0.0321433953940868,0.0379589684307575,0.0439024753868579,0.2325058877468109,0.0721295997500419,0.039590548723936,0.5,51
16,СПАРК_Отчет_ПАО_НЛМК_4823006703_20240423_183106.docx,0.032329972833395,0.0372520983219146,0.0176832433789968,0.0513195022940635,0.0145549019798636,0.7289207577705383,0.3492558300495147,0.4023941457271576,0.2849654853343963,0.0818586274981498,0.0244423225522041,0.587767481803894,0.0026419381611049,0.5616917610168457,0.0018954201368615,0.0066810748539865,0.0430035069584846,0.2017150968313217,0.3221952319145202,0.0560636185109615,0.0100605906918644,0.0211981236934661,0.1272934824228286,0.0644910410046577,0.5980833172798157,0.0034560351632535,0.1329391747713089,0.0042281914502382,0.8987610936164856,0.0713931024074554,0.7596046924591064,0.681336522102356,0.0096431607380509,0.1828297823667526,0.0045851040631532,0.018779307603836,0.0395928658545017,0.535917341709137,0.0221042428165674,0.08496805280447,0.3901705145835876,0.0281276032328605,0.0330169610679149,0.0292258951812982,0.2138997614383697,0.057994470000267,0.0307718105614185,0.6111111111111112,21
17,МКБ инфа.docx,0.025535587221384,0.0358547233045101,0.0243184212595224,0.0261572562158107,0.0130330817773938,0.7408175468444824,0.3343943655490875,0.3549971282482147,0.2048842310905456,0.085548385977745,0.0262803770601749,0.5506185293197632,0.0039935014210641,0.4392039775848388,0.0021305670961737,0.0043603074736893,0.0490526109933853,0.2117133140563964,0.2943278551101684,0.039477165788412,0.0079816300421953,0.0180948320776224,0.111131951212883,0.0435495264828205,0.4345846176147461,0.001324706361629,0.093678668141365,0.0048638549633324,0.8759201169013977,0.0449412502348423,0.697640061378479,0.7457125186920166,0.0106639098376035,0.1298716217279434,0.0059573147445917,0.0264376420527696,0.0480491258203983,0.5038522481918335,0.0227464810013771,0.0830405950546264,0.1914349943399429,0.0238512102514505,0.0365727767348289,0.0355445779860019,0.122813269495964,0.0516045168042182,0.0427857376635074,0.8333333333333334,7
18,СПАРК_Отчет_ПАО_СБЕРБАНК_7707083893_20240423_180928.docx,0.0529059916734695,0.0700052082538604,0.0171254351735115,0.0630839988589286,0.0138352215290069,0.7289207577705383,0.31742063164711,0.4922465682029724,0.3705067634582519,0.1017107963562011,0.0488198325037956,0.587767481803894,0.0030824567656964,0.5463826656341553,0.0027119661681354,0.0066810748539865,0.0699218958616256,0.2017150968313217,0.3382340669631958,0.0744197815656662,0.0100605906918644,0.0211981236934661,0.1272934824228286,0.0691516399383544,0.6856288909912109,0.003923637792468,0.2087903618812561,0.0040287510491907,0.9084655046463012,0.1098762527108192,0.7596046924591064,0.6992793083190918,0.0136564504355192,0.2635383903980255,0.0047909682616591,0.018779307603836,0.0481129512190818,0.535917341709137,0.0359441004693508,0.08496805280447,0.4526418149471283,0.0317534767091274,0.0442649014294147,0.041475661098957,0.2239789813756942,0.0776438117027282,0.0382707044482231,0.9444444444444444,1
19,СПАРК_Отчет_ПАО_ПОЛЮС_7703389295_20240423_182548.docx,0.0237891897559165,0.0514918901026248,0.0171494167298078,0.0670017078518867,0.0118682431057095,0.7289207577705383,0.2443151026964187,0.4305865466594696,0.3132240772247314,0.0829258933663368,0.0519430637359619,0.5484341382980347,0.0022326707839965,0.4692765772342682,0.00139376509469,0.0069335801526904,0.0715783014893531,0.2017150968313217,0.2771274447441101,0.0730996876955032,0.0100605906918644,0.0211981236934661,0.1272934824228286,0.0530829355120658,0.5498640537261963,0.0024223790969699,0.1711775511503219,0.0039914781227707,0.8778794407844543,0.1076264753937721,0.7596046924591064,0.6893236041069031,0.0092826792970299,0.224401369690895,0.0045851040631532,0.0166042391210794,0.0556141808629035,0.535917341709137,0.0234346762299537,0.1073017194867134,0.4159989953041076,0.0278216637670993,0.0426784679293632,0.0332058668136596,0.1956552565097808,0.0426735877990722,0.039227720350027,0.8333333333333334,3
20,Транснефть инфа.docx,0.0201834142208099,0.0388402231037616,0.0158895161002874,0.0436012037098407,0.0097405510023236,0.7289207577705383,0.2919127643108368,0.4416807889938354,0.2720120847225189,0.0994585528969764,0.0260668955743312,0.5484341382980347,0.0049333553761243,0.4346296489238739,0.0040729260072112,0.0059293322265148,0.1052551195025444,0.2017150968313217,0.1924092322587967,0.0630022436380386,0.0100605906918644,0.0211981236934661,0.1272934824228286,0.0526816472411155,0.4285642206668854,0.0015517717693001,0.1429001241922378,0.0085868285968899,0.8604317307472229,0.0417232401669025,0.7837156057357788,0.6447248458862305,0.0195479337126016,0.1642133146524429,0.006827306933701,0.038201481103897,0.0565980933606624,0.535917341709137,0.0239769723266363,0.1245887279510498,0.3063730895519256,0.0368407741189003,0.0302438661456108,0.0323016755282878,0.1312210112810135,0.029553972184658,0.0241257455199956,0.05555555555555555,94
21,СПАРК_Отчет_ПАО_ТАТНЕФТЬ_ИМ_В_Д_ШАШИНА_1644003838_20240423_181952.docx,0.0201834142208099,0.0312903448939323,0.0185368862003088,0.0379943326115608,0.0181849617511034,0.7289207577705383,0.2752425670623779,0.4023941457271576,0.1664019227027893,0.0611434690654277,0.0204117037355899,0.5484341382980347,0.0017189132049679,0.4990014135837555,0.0020082995761185,0.0048765074461698,0.036083661019802,0.2017150968313217,0.2493610978126526,0.0370753742754459,0.0100605906918644,0.0211981236934661,0.1272934824228286,0.0374582633376121,0.4545967280864715,0.00213119154796,0.1145113408565521,0.0039034511428326,0.8604317307472229,0.0552303940057754,0.7596046924591064,0.6447248458862305,0.0085137337446212,0.1246331110596656,0.0045851040631532,0.0166042391210794,0.0383107289671897,0.535917341709137,0.0189231876283884,0.08496805280447,0.2261024266481399,0.0241098497062921,0.0285705029964447,0.0155311897397041,0.1032855659723281,0.0269546695053577,0.0278125870972871,0.8333333333333334,4
22,АЛРОСА инфа.docx,0.0220616683363914,0.0267173890024423,0.0277239847928285,0.0301530100405216,0.0208646655082702,0.6515476107597351,0.3496740758419037,0.3438962697982788,0.192117765545845,0.0692727342247963,0.0154773592948913,0.5488554835319519,0.0049161105416715,0.4735732674598694,0.0029603480361402,0.0072192177176475,0.0317039676010608,0.180494338274002,0.3420696854591369,0.0408762022852897,0.0121699180454015,0.0180049035698175,0.097049631178379,0.062580905854702,0.3441409468650818,0.0012613930739462,0.1056946665048599,0.0042242864146828,0.8712499737739563,0.0386004447937011,0.6965789198875427,0.6778241395950317,0.0102756218984723,0.0927008688449859,0.0063421274535357,0.02054163813591,0.0408604368567466,0.4775497913360595,0.0169657990336418,0.0882050246000289,0.2927292585372925,0.0211771391332149,0.0183228868991136,0.0254406239837408,0.1667247265577316,0.0381002053618431,0.0335882678627967,0.5,38
23,СПАРК_Отчет_ПАО_МАГНИТ_2309085638_20240423_183552.docx,0.0278767943382263,0.0592577047646045,0.0178188625723123,0.0629504099488258,0.0176129601895809,0.7289207577705383,0.3754361271858215,0.4023941457271576,0.2730725407600403,0.0766483098268508,0.028742054477334,0.5484341382980347,0.002312532858923,0.4683288037776947,0.0043849339708685,0.0110996002331376,0.0770587176084518,0.2017150968313217,0.3437204658985138,0.0564079992473125,0.0113177336752414,0.0265976320952177,0.1272934824228286,0.0547335743904113,0.5081477165222168,0.0021957219578325,0.1609272211790084,0.0041864421218633,0.9237496256828308,0.0760197266936302,0.7596046924591064,0.6500350832939148,0.0072387475520372,0.2038424015045166,0.0045851040631532,0.0166042391210794,0.0383107289671897,0.535917341709137,0.0205603241920471,0.08496805280447,0.3594512045383453,0.0241278856992721,0.0476206578314304,0.0216408446431159,0.157993271946907,0.0459361895918846,0.0322689674794673,0.05555555555555555,79
24,СЕГЕЖА инфа.docx,0.0291602928191423,0.0403891243040561,0.0163674745708704,0.0667869299650192,0.015901980921626,0.7454450726509094,0.260614812374115,0.497545838356018,0.2991162836551666,0.0936875790357589,0.0457955859601497,0.4567243158817291,0.0016539965290576,0.5387316346168518,0.0025124289095401,0.0071163834072649,0.0752824246883392,0.2397618442773819,0.3614369630813598,0.0804829895496368,0.0078541794791817,0.0216671247035264,0.1394371688365936,0.0502288863062858,0.6167486310005188,0.0028184698894619,0.1682471632957458,0.0044145956635475,0.916622281074524,0.0925927087664604,0.7892338633537292,0.6959375143051147,0.010518942028284,0.1581641435623169,0.0051996409893035,0.0148209864273667,0.0761323422193527,0.5802180171012878,0.0241932142525911,0.1210878267884254,0.4022479057312011,0.0224447827786207,0.0315976254642009,0.0343764200806617,0.2260071039199829,0.0707077756524086,0.0306764412671327,0.3888888888888889,55
25,СПАРК_Отчет_ПАО_НОВАТЭК_6316031581_20240423_182205.docx,0.0201834142208099,0.0476252995431423,0.0149055384099483,0.0578161440789699,0.0123887313529849,0.7289207577705383,0.2523309588432312,0.4288695156574249,0.2886822819709778,0.073173776268959,0.040586844086647,0.5484341382980347,0.0019284400623291,0.4672502875328064,0.0016565338009968,0.0065405750647187,0.0662709921598434,0.2017150968313217,0.266047865152359,0.0672406479716301,0.0100605906918644,0.0211981236934661,0.1272934824228286,0.0496796891093254,0.5315098762512207,0.0037630728911608,0.1864993572235107,0.0036513903178274,0.8797774910926819,0.1024090871214866,0.7596046924591064,0.6697459816932678,0.008325146511197,0.1979502141475677,0.0045851040631532,0.0166042391210794,0.0483684130012989,0.535917341709137,0.0230714697390794,0.1104930937290191,0.3920775353908539,0.0293049532920122,0.0393169224262237,0.0287004504352808,0.1846289932727813,0.0400510802865028,0.0313178747892379,0.6111111111111112,28
26,ВК инфа.docx,0.0219373349100351,0.03331233933568,0.0324597395956516,0.0411051511764526,0.0164783112704753,0.6401115655899048,0.3509215414524078,0.480366587638855,0.2176133692264557,0.0672982782125473,0.0167865753173828,0.497850626707077,0.0034423086326569,0.5532006025314331,0.0042621404863893,0.0044228001497685,0.055986650288105,0.1619535237550735,0.2316683232784271,0.0510185211896896,0.0087615409865975,0.0187387131154537,0.0987618714570999,0.1086933687329292,0.4005820453166961,0.0016624064883217,0.130442813038826,0.0041160974651575,0.8837572336196899,0.0592562444508075,0.6866455674171448,0.6075341105461121,0.0105483289808034,0.0662167519330978,0.0048273638822138,0.0287260096520185,0.0458604954183101,0.453456699848175,0.0253262985497713,0.0733747705817222,0.2818703651428222,0.0145979626104235,0.0333703905344009,0.0416428446769714,0.1230172887444496,0.0497283861041069,0.0441815294325351,0.6111111111111112,23
